file_name,prompt
2010 Yeosu EXPO Korean Pavilion_P_002.jpg,"a large building next to a body of water, conceptual rendering, rendering of checkmate, detailed renderings, dramatic rendering, detailed rendering, sharp hq rendering, futuristic architectural art, artists impression, futuristic sport arena, photoralistic rendering, artistic rendering, architecture render ”, in style of norman foster, artist impression, in style of zaha hadid architect, beautiful rendering"
2010 Yeosu EXPO Korean Pavilion_P_003.jpg,"a model of a city next to a body of water, detailed renderings, detailed rendering, renderhub next2020, isometric view, ultra wide angle isometric view, 2 d overhead view, viewed from bird's-eye, isometric view!!!!, satellite view, artists impression, 2 0 2 2 photo, sharp hq rendering"
2010 Yeosu EXPO Korean Pavilion_P_004.jpg,"a group of people standing inside of a building, okinawa churaumi aquarium, concept image, aquarium, a huge glass tank, aisles of aquariums, environmental design, big aquarium, giant aquarium in natural cave, detailed renderings, giant whale tank with legs, energetic atmosphere, biopods, environmental artwork, promotional render, conceptual rendering, enviroment design"
2018 PyeongChang Olympic Plaza_2018030809060113546.jpg_456.jpg,"a large building sitting on top of a lush green field, artists impression, conceptual rendering, detailed renderings, artist impression, artist's impression, rendering of checkmate, hadron antimatter vacuum reactor, detailed rendering, architecture visualization, medical research facility, dramatic rendering, research complex, section model, architectural rendering, artistic rendering, cg rendering, baseball stadium"
2018 PyeongChang Olympic Plaza_2018030819085289827.jpg_1400.jpg,"a stadium filled with lots of people watching fireworks, olympics ceremony, photo from the olympic games, stadium setting, the olympics footage, olympics footage, olympics, 4k photo”, large scale photo, epic stunning atmosphere, 8 k uhd post - production, 4k photo gigapixel, stadium landscape, stadium, news photo, uhd hyperdetailed photography"
2018 PyeongChang Olympic Plaza_2018030819085413386.jpg_456.jpg,"a close up of a building with purple lights, abstract purple lighting, volumeric lighting, metal cladding wall, purple and cyan lighting, wall ], blue wall, polygonal iron steel walls, metallic architecture, blue and purple lighting, purple color lighting, purple ambient light, the walls purple and pulsing, vollumetric lighting, wall"
2018 PyeongChang Olympic Plaza_2018030819085444598.jpg_456.jpg,"a man riding a skateboard up the side of a ramp, cyberpunk ikea, inside futuristic hangar, inside a futuristic army base, futuristic cyber subway station, industrial architecture, exhibition hall lighting, on a futuristic shopping mall, architecture digest, interior of a huge robot factory, art station cfg _ scale 9, pritzker architecture prize, purple future city, catwalks"
2018 PyeongChang Olympic Plaza_201803131120178619.jpg_1920.jpg,"a large stadium filled with lots of people, olympics ceremony, stadium setting, photo from the olympic games, futuristic sport arena, stadium landscape, beautiful russia of the future, ice city in 2 0 8 0, dramatic stadium lighting, art deco stadium, olympics, russia in 2 0 2 1, the olympics footage, typical russian atmosphere, stadium, traditional russia"
2018 PyeongChang Olympic Plaza_201803131120182831.jpg_1920.jpg,"a group of people standing in front of a building, futuristic sport arena, olympics ceremony, art deco stadium, torch lighting, photo from the olympic games, 5000k white product lighting, futuristic decoration, futuristic building, stadium setting, olympics, ice city in 2 0 8 0, torch - lit, award - winning design, torch, architecture award winner"
2018 PyeongChang Olympic Plaza_2018031311201864278.jpg_1920.jpg,"a large stadium filled with lots of people, olympics ceremony, stadium setting, photo from the olympic games, 4k photo gigapixel, gigapixel photo, the olympics footage, associated press photo, the image is refined with uhd, olympics footage, large scale photo, epic stunning atmosphere, olympics, giant led screens, surreal scene"
2018 PyeongChang Olympic Plaza_2018031311201908074.jpg_1920.jpg,"a crowd of people watching a hockey game, stadium setting, stadium, stadium full of people, stadium landscape, photo of a huge theaterstage, olympics ceremony, futuristic sport arena, large led screens, giant hall, in front of a large crowd, large viewscreens, giant led screens, arena, soccer stadium, 5000k white product lighting, center spotlight"
2018 PyeongChang Olympic Plaza_2018031311201950229.jpg_1920.jpg,"an aerial view of a stadium at night, conceptual rendering, rendering of checkmate, detailed renderings, concept art rendering, cg rendering, a digital rendering, detailed rendering, 1 9 9 8 render, hockey arena game illustration, artistic rendering, futuristic sport arena, official render, beautiful rendering, artist's impression, hq render, award-winning render, dramatic rendering"
